Completed Date;Reference;Paid Out (EUR);Paid In (EUR);Exchange Out;Exchange In; Balance (EUR);Category
2018 December 27;HMSHost Schiphol Airport / Exchange Avenue;2.65;;;; 3.84;restaurants
2018 December 27;HMSHost Schiphol Airport / Exchange Avenue;10.95;;;; 6.49;restaurants
2018 December 14;To SCP FLBL Notaires;600.00;;;; 17.44;transfers
2018 December 14;Exchanged from CHF;; 130.00;;CHF 146.43; 617.44;general
2018 December 5;Leroy Merlin Thoiry;46.80;;;; 487.44;utilities
2018 November 19;From Göran Tengelin;; 79.00;;; 534.24;transfers
2018 November 19;Leroy Merlin Thoiry;67.71;;;; 455.24;utilities
2018 November 15;Amzn Mktp De*m81aa1th4;20.26;;;; 522.95;shopping
2018 November 9;Refund from Icebreaker_eu;; 119.95;;; 543.21;general
2018 November 5;To Martin Tengelin;2'250.00;;;; 423.26;transfers
2018 November 5;To Martin Tengelin;2'250.00;;;; 2'673.26;transfers
2018 November 3;From Charlotte Tengelin;; 2'000.00;;; 4'923.26;transfers
2018 November 2;Restaurant Mekong;34.13;;CHF 39.00;; 2'923.26;restaurants
2018 November 2;Globus Gastro Gen ve;15.60;;CHF 17.80;; 2'957.39;groceries
2018 November 2;Nike SoHo;154.55;;USD 174.83;; 2'972.99;general
2018 November 1;Easyjetevntdmr;138.41;;CHF 157.83;; 3'127.54;travel
2018 November 1;Bosphore-resto;11.34;;CHF 12.90;; 3'265.95;restaurants
2018 October 30;To Charlotte Tengelin;1.00;;;; 3'277.29;transfers
2018 October 29;Amzn Mktp Us*m86yl0ek1;222.86;;USD 253.30;; 3'278.29;shopping
2018 October 29;Amzn Mktp Us*m82ur80j2;63.33;;USD 71.97;; 3'501.15;shopping
2018 October 29;Cascina Papamora Risto;106.00;;;; 3'564.48;restaurants
2018 October 29;Autost Torino Nord;16.80;;;; 3'670.48;transport
2018 October 26;Autogrill 0029;34.45;;;; 3'687.28;restaurants
2018 October 26;Traforo Gran S. Bernar;26.90;;;; 3'721.73;transport
2018 October 26;Campesato Alberto D I;26.78;;;; 3'748.63;transport
2018 October 26;Lagoproject Sas;68.00;;;; 3'775.41;restaurants
2018 October 26;Casino Shop;35.76;;;; 3'843.41;groceries
2018 October 26;Eni Rete Oil Non Oil S;51.32;;;; 3'879.17;transport
2018 October 25;Cash at BNP Paribas;80.00;;;; 3'930.49;cash
